Entity,Code,Year,Public social expenditure as a share of GDP
Australia,AUS,1880,0
Australia,AUS,1890,0
Australia,AUS,1900,0
Australia,AUS,1910,1.12
Australia,AUS,1920,1.66
Australia,AUS,1930,2.11
Australia,AUS,1960,5.917997
Australia,AUS,1961,6.3205285
Australia,AUS,1962,6.272406
Australia,AUS,1963,6.1865797
Australia,AUS,1964,5.9645305
Australia,AUS,1965,6.047579
Australia,AUS,1966,5.9095325
Australia,AUS,1967,5.6411896
Australia,AUS,1968,5.664654
Australia,AUS,1969,5.8370614
Australia,AUS,1970,5.902064
Australia,AUS,1971,6.198489
Australia,AUS,1972,6.625018
Australia,AUS,1973,6.9982
Australia,AUS,1974,8.3813095
Australia,AUS,1975,10.138167
Australia,AUS,1976,10.575734
Australia,AUS,1977,10.899897
Australia,AUS,1978,10.616133
Australia,AUS,1979,10.275355
Australia,AUS,1980,10.247
Australia,AUS,1981,10.12
Australia,AUS,1982,11.094
Australia,AUS,1983,11.596
Australia,AUS,1984,11.966
Australia,AUS,1985,12.055
Australia,AUS,1986,11.891
Australia,AUS,1987,12.146
Australia,AUS,1988,11.442
Australia,AUS,1989,11.58
Australia,AUS,1990,13.115
Australia,AUS,1991,14.278
Australia,AUS,1992,15.257
Australia,AUS,1993,15.517
Australia,AUS,1994,15.232
Australia,AUS,1995,16.869
Australia,AUS,1996,16.986
Australia,AUS,1997,16.753
Australia,AUS,1998,17.563
Australia,AUS,1999,17.2
Australia,AUS,2000,18.184
Australia,AUS,2001,17.488
Australia,AUS,2002,17.301
Australia,AUS,2003,17.484
Australia,AUS,2004,17.181
Australia,AUS,2005,16.641
Australia,AUS,2006,15.679
Australia,AUS,2007,15.844
Australia,AUS,2008,17.037
Australia,AUS,2009,16.833
Australia,AUS,2010,16.544
Australia,AUS,2011,17.008
Australia,AUS,2012,17.301
Australia,AUS,2013,17.264
Australia,AUS,2014,17.868
Australia,AUS,2015,18.199
Australia,AUS,2016,17.483
Australia,AUS,2017,17.072
Australia,AUS,2018,16.626
Australia,AUS,2019,20.43
Australia,AUS,2020,22.635
Australia,AUS,2021,18.061
Australia,AUS,2022,17.067
Austria,AUT,1880,0
Austria,AUT,1890,0
Austria,AUT,1900,0
Austria,AUT,1910,0
Austria,AUT,1920,0
Austria,AUT,1930,1.2
Austria,AUT,1960,15.014393
Austria,AUT,1961,15.022305
Austria,AUT,1962,15.925137
Austria,AUT,1963,16.319534
Austria,AUT,1964,16.280657
Austria,AUT,1965,16.489904
Austria,AUT,1966,16.730434
Austria,AUT,1967,17.53491
Austria,AUT,1968,17.070877
Austria,AUT,1969,17.911722
Austria,AUT,1970,17.867645
Austria,AUT,1971,18.012295
Austria,AUT,1972,17.860916
Austria,AUT,1973,17.706495
Austria,AUT,1974,18.16684
Austria,AUT,1975,19.81951
Austria,AUT,1976,20.523838
Austria,AUT,1977,20.524872
Austria,AUT,1978,22.160078
Austria,AUT,1979,22.106962
Austria,AUT,1980,21.992
Austria,AUT,1981,22.571674
Austria,AUT,1985,23.296
Austria,AUT,1990,23.354
Austria,AUT,1991,23.677
Austria,AUT,1992,24.371
Austria,AUT,1993,25.776
Austria,AUT,1994,26.719
Austria,AUT,1995,26.66
Austria,AUT,1996,26.825
Austria,AUT,1997,26.311
Austria,AUT,1998,26.122
Austria,AUT,1999,26.428
Austria,AUT,2000,26.187
