Completed cohort fertility and completed cohort fertility by age 40
Last modified: 2026-03-23
Code    Cohort     CCF     CCF40
AUT     1936     2.436     2.402
AUT     1937     2.410     2.379
AUT     1938     2.339     2.313
AUT     1939     2.202     2.179
AUT     1940     2.132     2.111
AUT     1941     2.065     2.043
AUT     1942     2.037     2.014
AUT     1943     1.983     1.964
AUT     1944     1.953     1.935
AUT     1945     1.938     1.917
AUT     1946     1.986     1.967
AUT     1947     1.931     1.913
AUT     1948     1.916     1.898
AUT     1949     1.908     1.888
AUT     1950     1.863     1.843
AUT     1951     1.835     1.816
AUT     1952     1.812     1.791
AUT     1953     1.817     1.796
AUT     1954     1.784     1.763
AUT     1955     1.768     1.746
AUT     1956     1.746     1.724
AUT     1957     1.730     1.707
AUT     1958     1.713     1.688
AUT     1959     1.714     1.687
AUT     1960     1.698     1.670
AUT     1961     1.676     1.646
AUT     1962     1.675     1.644
AUT     1963     1.667     1.636
AUT     1964     1.652     1.619
AUT     1965     1.657     1.620
AUT     1966     1.640     1.602
AUT     1967     1.626     1.585
AUT     1968     1.610     1.567
AUT     1969     1.615     1.570
AUT     1970     1.624     1.577
AUT     1971     1.634     1.583
AUT     1972     1.651     1.597
AUT     1973     1.661     1.605
AUT     1974         .     1.603
AUT     1975         .     1.590
AUT     1976         .     1.579
AUT     1977         .     1.574
AUT     1978         .     1.579
AUT     1979         .     1.567
AUT     1980         .     1.565
AUT     1981         .     1.550
AUT     1982         .     1.557
AUT     1983         .     1.536
BEL     1932     2.292     2.258
BEL     1933     2.279     2.250
BEL     1934     2.278     2.250
BEL     1935     2.274     2.250
BEL     1936     2.235     2.216
BEL     1937     2.220     2.200
BEL     1938     2.186     2.169
BEL     1939     2.149     2.132
BEL     1940     2.183     2.162
BEL     1941     2.141     2.125
BEL     1942     2.088     2.070
BEL     1943     2.034     2.019
BEL     1944     1.989     1.974
BEL     1945     1.942     1.928
BEL     1946     1.899     1.884
BEL     1947     1.880     1.864
BEL     1948     1.870     1.852
BEL     1949     1.849     1.833
BEL     1950     1.867     1.847
BEL     1951     1.834     1.816
BEL     1952     1.844     1.825
BEL     1953     1.834     1.813
BEL     1954     1.836     1.816
BEL     1955     1.835     1.814
BEL     1956     1.855     1.832
BEL     1957     1.837     1.814
BEL     1958     1.848     1.824
BEL     1959     1.849     1.825
BEL     1960     1.872     1.843
BEL     1961     1.847     1.818
BEL     1962     1.851     1.819
BEL     1963     1.828     1.795
BEL     1964     1.825     1.790
BEL     1965     1.821     1.782
BEL     1966     1.815     1.773
BEL     1967     1.823     1.778
BEL     1968     1.824     1.776
BEL     1969     1.827     1.777
BEL     1970     1.824     1.772
BEL     1971     1.822     1.771
BEL     1972     1.840     1.785
BEL     1973         .     1.790
BEL     1974         .     1.814
BEL     1975         .     1.811
BEL     1976         .     1.822
BEL     1977         .     1.825
BEL     1978         .     1.833
BEL     1979         .     1.832
BEL     1980         .     1.831
BEL     1981         .     1.813
BEL     1982         .     1.819
BGR     1932     2.045     2.030
BGR     1933     2.049     2.034
BGR     1934     2.041     2.027
BGR     1935     2.032     2.019
BGR     1936     2.036     2.023
BGR     1937     2.039     2.027
BGR     1938     2.038     2.027
BGR     1939     2.052     2.041
BGR     1940     2.085     2.075
BGR     1941     2.094     2.084
BGR     1942     2.091     2.081
BGR     1943     2.078     2.068
BGR     1944     2.077     2.067
BGR     1945     2.072     2.062
BGR     1946     2.053     2.043
BGR     1947     2.051     2.041
BGR     1948     2.065     2.055
BGR     1949     2.076     2.067
BGR     1950     2.066     2.057
BGR     1951     2.043     2.034
BGR     1952     2.042     2.033
BGR     1953     2.035     2.027
BGR     1954     2.039     2.030
BGR     1955     2.031     2.022
BGR     1956     2.032     2.024
BGR     1957     2.036     2.028
BGR     1958     2.019     2.010
BGR     1959     1.990     1.980
BGR     1960     1.950     1.941
BGR     1961     1.909     1.899
BGR     1962     1.884     1.872
BGR     1963     1.868     1.855
BGR     1964     1.857     1.844
BGR     1965     1.833     1.818
BGR     1966     1.809     1.792
BGR     1967     1.792     1.772
BGR     1968     1.757     1.735
BGR     1969     1.705     1.681
BGR     1970     1.682     1.655
BGR     1971     1.663     1.635
BGR     1972         .     1.634
BGR     1973         .     1.627
BGR     1974         .     1.607
BGR     1975         .     1.604
BGR     1976         .     1.614
BGR     1977         .     1.622
BGR     1978         .     1.633
BGR     1979         .     1.635
BGR     1980         .     1.629
BGR     1981         .     1.630
BLR     1949     1.968     1.951
BLR     1950     1.938     1.923
BLR     1951     1.964     1.950
BLR     1952     1.928     1.915
BLR     1953     1.886     1.874
BLR     1954     1.915     1.903
BLR     1955     1.931     1.920
BLR     1956     1.926     1.915
BLR     1957     1.924     1.913
BLR     1958     1.921     1.911
BLR     1959     1.891     1.880
BLR     1960     1.873     1.862
BLR     1961     1.857     1.845
BLR     1962     1.815     1.803
BLR     1963     1.736     1.723
