Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 2026-03-23
Code    Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
AUT     1969     1.615     0.793     0.567     0.184     0.051     0.021     1.570     0.780     0.553     0.174     0.046     0.017
AUT     1970     1.624     0.795     0.570     0.187     0.051     0.021     1.577     0.781     0.555     0.178     0.047     0.017
AUT     1971     1.634     0.797     0.574     0.189     0.053     0.022     1.583     0.781     0.557     0.179     0.048     0.018
AUT     1972     1.651     0.798     0.577     0.194     0.056     0.025     1.597     0.782     0.559     0.184     0.051     0.021
AUT     1973     1.661     0.802     0.583     0.198     0.055     0.024     1.605     0.785     0.564     0.186     0.050     0.020
AUT     1974         .         .         .         .         .         .     1.603     0.785     0.563     0.184     0.049     0.020
AUT     1975         .         .         .         .         .         .     1.590     0.782     0.558     0.181     0.050     0.020
AUT     1976         .         .         .         .         .         .     1.579     0.779     0.552     0.181     0.047     0.021
AUT     1977         .         .         .         .         .         .     1.574     0.771     0.553     0.180     0.049     0.021
AUT     1978         .         .         .         .         .         .     1.579     0.777     0.555     0.178     0.048     0.020
AUT     1979         .         .         .         .         .         .     1.567     0.774     0.551     0.176     0.046     0.019
AUT     1980         .         .         .         .         .         .     1.565     0.778     0.548     0.174     0.046     0.019
AUT     1981         .         .         .         .         .         .     1.550     0.772     0.546     0.168     0.044     0.020
AUT     1982         .         .         .         .         .         .     1.557     0.775     0.544     0.172     0.046     0.021
AUT     1983         .         .         .         .         .         .     1.536     0.770     0.535     0.167     0.043     0.020
BGR     1932     2.045     0.906     0.730     0.220     0.089     0.100     2.030     0.904     0.727     0.218     0.088     0.093
BGR     1933     2.049     0.914     0.738     0.216     0.087     0.093     2.034     0.912     0.735     0.214     0.085     0.087
BGR     1934     2.041     0.917     0.739     0.212     0.084     0.088     2.027     0.915     0.736     0.210     0.083     0.083
BGR     1935     2.032     0.918     0.740     0.209     0.082     0.083     2.019     0.916     0.737     0.207     0.081     0.078
BGR     1936     2.036     0.919     0.749     0.209     0.081     0.078     2.023     0.917     0.746     0.207     0.079     0.074
BGR     1937     2.039     0.921     0.755     0.210     0.079     0.074     2.027     0.919     0.753     0.208     0.077     0.071
BGR     1938     2.038     0.924     0.756     0.210     0.076     0.071     2.027     0.922     0.754     0.208     0.075     0.067
BGR     1939     2.052     0.934     0.762     0.213     0.075     0.069     2.041     0.932     0.759     0.211     0.074     0.065
BGR     1940     2.085     0.953     0.776     0.217     0.074     0.065     2.075     0.952     0.774     0.215     0.072     0.062
BGR     1941     2.094     0.963     0.782     0.217     0.071     0.060     2.084     0.961     0.780     0.215     0.070     0.057
BGR     1942     2.091     0.965     0.786     0.215     0.068     0.056     2.081     0.964     0.784     0.213     0.067     0.054
BGR     1943     2.078     0.959     0.790     0.211     0.065     0.053     2.068     0.957     0.788     0.209     0.064     0.050
BGR     1944     2.077     0.967     0.793     0.206     0.062     0.050     2.067     0.965     0.790     0.204     0.061     0.047
BGR     1945     2.072     0.971     0.793     0.201     0.060     0.047     2.062     0.969     0.790     0.199     0.059     0.045
BGR     1946     2.053     0.959     0.792     0.197     0.059     0.046     2.043     0.957     0.790     0.195     0.057     0.044
BGR     1947     2.051     0.959     0.795     0.193     0.057     0.046     2.041     0.957     0.793     0.191     0.056     0.044
BGR     1948     2.065     0.973     0.799     0.192     0.056     0.045     2.055     0.971     0.797     0.189     0.055     0.043
BGR     1949     2.076     0.984     0.802     0.191     0.056     0.043     2.067     0.982     0.800     0.189     0.055     0.041
BGR     1950     2.066     0.976     0.801     0.192     0.055     0.042     2.057     0.973     0.799     0.191     0.054     0.040
BGR     1951     2.043     0.962     0.793     0.192     0.054     0.042     2.034     0.960     0.791     0.190     0.053     0.040
BGR     1952     2.042     0.966     0.791     0.188     0.053     0.043     2.033     0.965     0.789     0.186     0.053     0.041
BGR     1953     2.035     0.970     0.787     0.183     0.052     0.042     2.027     0.969     0.785     0.182     0.051     0.040
BGR     1954     2.039     0.975     0.788     0.182     0.052     0.043     2.030     0.972     0.786     0.180     0.051     0.041
BGR     1955     2.031     0.971     0.784     0.182     0.051     0.043     2.022     0.969     0.783     0.180     0.050     0.041
BGR     1956     2.032     0.974     0.786     0.181     0.051     0.041     2.024     0.972     0.784     0.179     0.050     0.039
BGR     1957     2.036     0.980     0.785     0.180     0.050     0.041     2.028     0.978     0.783     0.178     0.050     0.039
BGR     1958     2.019     0.979     0.776     0.175     0.050     0.040     2.010     0.977     0.774     0.173     0.049     0.038
BGR     1959     1.990     0.974     0.764     0.166     0.048     0.038     1.980     0.971     0.762     0.164     0.047     0.036
BGR     1960     1.950     0.963     0.748     0.157     0.046     0.037     1.941     0.960     0.745     0.156     0.045     0.035
BGR     1961     1.909     0.947     0.733     0.149     0.044     0.036     1.899     0.944     0.731     0.147     0.043     0.034
BGR     1962     1.884     0.939     0.722     0.145     0.043     0.035     1.872     0.935     0.719     0.143     0.042     0.033
BGR     1963     1.868     0.938     0.710     0.142     0.041     0.036     1.855     0.934     0.707     0.140     0.041     0.034
BGR     1964     1.857     0.945     0.699     0.136     0.041     0.036     1.844     0.941     0.696     0.133     0.040     0.034
BGR     1965     1.833     0.945     0.678     0.133     0.041     0.035     1.818     0.939     0.674     0.131     0.040     0.034
BGR     1966     1.809     0.956     0.650     0.128     0.040     0.036     1.792     0.949     0.645     0.125     0.039     0.034
BGR     1967     1.792     0.969     0.628     0.120     0.038     0.037     1.772     0.962     0.621     0.117     0.037     0.035
BGR     1968     1.757     0.965     0.606     0.115     0.037     0.035     1.735     0.956     0.598     0.111     0.036     0.033
BGR     1969     1.705     0.944     0.581     0.111     0.035     0.034     1.681     0.935     0.573     0.108     0.034     0.032
BGR     1970     1.682     0.942     0.566     0.106     0.034     0.034     1.655     0.932     0.557     0.102     0.033     0.031
BGR     1971     1.663     0.939     0.554     0.103     0.034     0.033     1.635     0.928     0.544     0.099     0.033     0.030
BGR     1972         .         .         .         .         .         .     1.634     0.931     0.538     0.100     0.034     0.032
BGR     1973         .         .         .         .         .         .     1.627     0.933     0.531     0.097     0.032     0.033
BGR     1974         .         .         .         .         .         .     1.607     0.932     0.521     0.094     0.030     0.031
BGR     1975         .         .         .         .         .         .     1.604     0.931     0.521     0.094     0.029     0.030
BGR     1976         .         .         .         .         .         .     1.614     0.929     0.527     0.096     0.030     0.031
BGR     1977         .         .         .         .         .         .     1.622     0.928     0.531     0.099     0.032     0.032
BGR     1978         .         .         .         .         .         .     1.633     0.931     0.538     0.100     0.032     0.033
BGR     1979         .         .         .         .         .         .     1.635     0.930     0.540     0.101     0.032     0.032
BGR     1980         .         .         .         .         .         .     1.629     0.918     0.541     0.104     0.033     0.033
BGR     1981         .         .         .         .         .         .     1.630     0.913     0.543     0.106     0.033     0.035
BLR     1949     1.968     0.943     0.734     0.189     0.055     0.047     1.951     0.939     0.731     0.186     0.052     0.043
BLR     1950     1.938     0.936     0.725     0.181     0.052     0.044     1.923     0.932     0.722     0.178     0.050     0.041
BLR     1951     1.964     0.954     0.737     0.179     0.050     0.043     1.950     0.951     0.734     0.176     0.049     0.040
BLR     1952     1.928     0.942     0.726     0.174     0.047     0.039     1.915     0.940     0.724     0.171     0.045     0.036
BLR     1953     1.886     0.928     0.709     0.169     0.044     0.037     1.874     0.926     0.706     0.166     0.042     0.034
BLR     1954     1.915     0.943     0.720     0.170     0.044     0.038     1.903     0.941     0.718     0.167     0.042     0.035
BLR     1955     1.931     0.952     0.731     0.168     0.043     0.036     1.920     0.950     0.729     0.166     0.042     0.033
BLR     1956     1.926     0.951     0.733     0.166     0.042     0.033     1.915     0.949     0.731     0.164     0.041     0.031
BLR     1957     1.924     0.955     0.735     0.161     0.040     0.032     1.913     0.953     0.733     0.159     0.039     0.029
BLR     1958     1.921     0.970     0.727     0.156     0.039     0.030     1.911     0.968     0.724     0.153     0.037     0.028
BLR     1959     1.891     0.965     0.712     0.148     0.037     0.028     1.880     0.964     0.710     0.145     0.036     0.026
BLR     1960     1.873     0.964     0.705     0.142     0.037     0.026     1.862     0.962     0.702     0.139     0.035     0.024
BLR     1961     1.857     0.963     0.694     0.138     0.036     0.026     1.845     0.961     0.691     0.135     0.034     0.024
BLR     1962     1.815     0.956     0.671     0.132     0.033     0.024     1.803     0.954     0.668     0.128     0.031     0.022
BLR     1963     1.736     0.929     0.632     0.122     0.031     0.022     1.723     0.927     0.629     0.118     0.029     0.020
BLR     1964     1.684     0.910     0.607     0.116     0.030     0.022     1.671     0.908     0.603     0.112     0.028     0.020
BLR     1965     1.689     0.914     0.606     0.116     0.031     0.022     1.674     0.912     0.602     0.112     0.029     0.020
BLR     1966     1.700     0.922     0.609     0.116     0.032     0.022     1.684     0.919     0.604     0.111     0.030     0.020
BLR     1967     1.713     0.950     0.595     0.114     0.031     0.022     1.694     0.948     0.590     0.109     0.028     0.019
BLR     1968     1.709     0.959     0.584     0.115     0.030     0.022     1.689     0.957     0.577     0.109     0.027     0.019
BLR     1969         .         .         .         .         .         .     1.674     0.957     0.562     0.109     0.027     0.019
BLR     1970         .         .         .         .         .         .     1.643     0.946     0.546     0.108     0.026     0.017
BLR     1971         .         .         .         .         .         .     1.593     0.915     0.529     0.106     0.026     0.016
BLR     1972         .         .         .         .         .         .     1.559     0.897     0.512     0.107     0.027     0.016
BLR     1973         .         .         .         .         .         .     1.545     0.884     0.510     0.109     0.027     0.015
BLR     1974         .         .         .         .         .         .     1.543     0.871     0.513     0.115     0.028     0.015
BLR     1975         .         .         .         .         .         .     1.548     0.860     0.519     0.123     0.030     0.016
BLR     1976         .         .         .         .         .         .     1.578     0.864     0.534     0.131     0.032     0.017
BLR     1977         .         .         .         .         .         .     1.608     0.875     0.544     0.137     0.033     0.018
BLR     1978         .         .         .         .         .         .     1.622     0.874     0.550     0.145     0.034     0.019
CAN     1929     3.343     0.934     0.805     0.598     0.393     0.613     3.293     0.931     0.800     0.592     0.386     0.584
CAN     1930     3.376     0.952     0.819     0.609     0.397     0.600     3.333     0.948     0.814     0.603     0.391     0.576
CAN     1931     3.356     0.956     0.824     0.612     0.393     0.571     3.320     0.953     0.820     0.607     0.388     0.552
CAN     1932     3.302     0.956     0.822     0.608     0.385     0.531     3.271     0.953     0.818     0.604     0.381     0.516
CAN     1933     3.227     0.951     0.817     0.600     0.373     0.486     3.201     0.948     0.814     0.596     0.369     0.474
CAN     1934     3.155     0.946     0.814     0.590     0.360     0.444     3.132     0.944     0.811     0.587     0.357     0.434
CAN     1935     3.077     0.941     0.812     0.579     0.345     0.400     3.056     0.938     0.808     0.576     0.342     0.391
CAN     1936     2.987     0.936     0.807     0.564     0.326     0.354     2.968     0.934     0.804     0.561     0.323     0.346
CAN     1937     2.908     0.937     0.807     0.550     0.306     0.308     2.891     0.934     0.804     0.547     0.304     0.302
CAN     1938     2.833     0.940     0.809     0.535     0.284     0.265     2.817     0.938     0.806     0.532     0.282     0.260
CAN     1939     2.760     0.948     0.809     0.517     0.261     0.226     2.745     0.946     0.806     0.514     0.258     0.221
CAN     1940     2.664     0.952     0.805     0.489     0.232     0.186     2.648     0.950     0.802     0.486     0.230     0.181
CAN     1941     2.546     0.952     0.793     0.452     0.201     0.149     2.531     0.949     0.790     0.449     0.198     0.145
CAN     1942     2.451     0.958     0.781     0.419     0.174     0.120     2.436     0.955     0.778     0.415     0.172     0.116
CAN     1943     2.343     0.947     0.763     0.385     0.150     0.097     2.328     0.945     0.759     0.382     0.148     0.093
CAN     1944     2.198     0.910     0.731     0.350     0.129     0.078     2.183     0.907     0.728     0.347     0.127     0.074
CAN     1945     2.114     0.896     0.712     0.327     0.114     0.064     2.098     0.893     0.709     0.323     0.112     0.061
CAN     1946     2.133     0.929     0.725     0.319     0.105     0.056     2.116     0.925     0.720     0.315     0.103     0.053
CAN     1947     2.107     0.931     0.723     0.307     0.096     0.050     2.089     0.927     0.718     0.303     0.094     0.047
CAN     1948     2.025     0.899     0.702     0.292     0.088     0.044     2.006     0.895     0.696     0.288     0.086     0.041
CAN     1949     1.968     0.877     0.685     0.282     0.083     0.041     1.948     0.872     0.680     0.278     0.080     0.038
CAN     1950     1.927     0.861     0.675     0.274     0.079     0.038     1.906     0.856     0.668     0.270     0.076     0.035
CAN     1951     1.897     0.847     0.667     0.270     0.077     0.036     1.874     0.842     0.660     0.265     0.074     0.033
CAN     1952     1.882     0.839     0.665     0.266     0.076     0.036     1.858     0.833     0.657     0.262     0.073     0.033
CAN     1953     1.873     0.838     0.659     0.264     0.075     0.036     1.848     0.833     0.652     0.259     0.072     0.033
CAN     1954     1.863     0.839     0.653     0.261     0.074     0.035     1.837     0.833     0.645     0.256     0.071     0.032
CAN     1955     1.852     0.836     0.649     0.258     0.074     0.035     1.826     0.830     0.640     0.253     0.071     0.032
CAN     1956     1.844     0.833     0.645     0.257     0.074     0.036     1.817     0.826     0.636     0.252     0.071     0.032
CAN     1957     1.846     0.832     0.646     0.257     0.074     0.036     1.818     0.825     0.638     0.252     0.071     0.032
